,nm_produto,ds_classe2,vl_total
170,Linguica Aurora Pernil Resf.Kg,Acougue,10043.83
171,Linguica Bizinelli Fina Especial Kg,Acougue,2134.39
172,Linguica Bizinelli Toscana Kg,Acougue,1577.92
173,Linguica Copacol Churrasco Cong.1kg,Acougue,312.11
174,Linguica Copacol de Frango Cong.1kg,Acougue,1776.80
175,Linguica Copacol de Frango Resf.1kg,Acougue,11338.51
176,Linguica Fattoria Cheiro Verde Resf.Kg,Acougue,2745.90
177,Linguica Fattoria Toscana Resf.Kg,Acougue,419.54
178,Linguica Frimesa Calab.Frescal Cong.1kg,Acougue,246.22
179,Linguica Frimesa Frango Fininha Cong.1kg,Acougue,217.87
180,Linguica Frimesa Pernil Suina Resf.1kg,Acougue,510.40
181,Linguica Frimesa Pernil Suina Resf.Kg,Acougue,633.28
182,Linguica Frimesa Pernil Suino Cong.1kg,Acougue,411.20
183,Linguica Frimesa Toscana Cong.1kg,Acougue,588.24
184,Linguica Frimesa Toscana Kg Cong.,Acougue,2243.65
185,Linguica Frimesa Toscana Resf.Kg,Acougue,13443.80
186,Linguica Frimesa Toscana Resf.Pct 1kg,Acougue,764.92
187,Linguica Lar Frango Fininha Resf.1kg,Acougue,805.90
188,Linguica Mista Suino Sabor Kg,Acougue,3931.66
189,Linguica Pamplona Pernil Apim.Resf.600g,Acougue,46.95
190,Linguica Pamplona Pernil Erva Resf.600g,Acougue,28.17
191,Linguica Pamplona Pernil Resf.600g,Acougue,37.56
192,Linguica Perdigao Brasa Apiment.Cong.1kg,Acougue,129.84
193,Linguica Perdigao Carne Suina Resf.700g,Acougue,712.88
194,Linguica Perdigao Pernil Na Brasacong.1g,Acougue,631.84
195,Linguica Perdigao Toscana 600g Alho/Erva,Acougue,127.52
196,Linguica Perdigao Toscana 600g C/Queijo,Acougue,108.22
197,Linguica Perdigao Toscana 600g Fgo/Bacon,Acougue,77.67
198,Linguica Perdigao Toscana 600g Pimen.Biq,Acougue,133.31
199,Linguica Perdigao Toscana Brasa Cong.1kg,Acougue,439.70
200,Linguica Sadia Toscana 950g,Acougue,382.56
201,Linguica Seara de Frango Cong.700g,Acougue,279.46
202,Linguica Seara Toscana Cong.700g,Acougue,141.74
203,Linguica Tonini Pernil Resf.Kg,Acougue,510.95
204,Linguica Tonini Resf.Ervas Finas Kg,Acougue,1607.07
205,Linguica Tonini Tc Kg,Acougue,15110.43
206,Lombo Alegra Corte Facil Cong.Kg,Acougue,98.16
207,Lombo Alegra Ingles Corte Facil Cong.Kg,Acougue,52.46
208,Lombo Suino Alegra Cong.Kg,Acougue,264.01
209,Lombo Suino Alegra Temp.Resf.Kg,Acougue,1060.05
210,Lombo Suino Fattoria Resf.Kg,Acougue,568.58
211,Lombo Suino Frimesa Gong.Kg,Acougue,211.03
212,Lombo Suino Pamplona Temp.Resf.Kg,Acougue,195.59
213,Lombo Suino Resf.Kg,Acougue,38.35
214,Maminha Friboi Reserva Peca Vac.Kg,Acougue,427.64
215,Maminha Swift Maturatta Resf Kg,Acougue,79.57
216,Medalhao do Alcatra Friboi Reserva Kg,Acougue,304.77
217,Meio da Asa Big Fgo Resf.Bdj  Kg,Acougue,1325.39
218,Meio da Asa Big Fgo Temp.Resf.Kg,Acougue,929.89
219,Meio da Asa Copacol Kg,Acougue,3537.15
220,Meio da Asa Frango Copacol Temp.Resf.1kg,Acougue,604.20
221,Meio da Asa Seara Resf.Kg,Acougue,541.07
222,Miolo Alcatra DeliCia A/S Pedaco Kg,Acougue,537.79
223,Miolo Alcatra Friboi Reserva Vac.Kg,Acougue,132.36
224,Mocoto Bovino Kg,Acougue,668.42
225,Moela de Frango Big Fgo Resf.Kg,Acougue,1133.80
226,Moela de Frango Copacol Resf.Kg,Acougue,1254.27
227,Musculo Com Osso Kg,Acougue,98.70
228,Musculo DeliCia A/S Resf.Pedaco Kg,Acougue,754.63
229,Musculo Friboi Reserva Resf.Peca Vac.Kg,Acougue,116.98
230,Musculo Mole DeliCia A/S Especial Kg,Acougue,164.23
231,Musculo Mole Friboi Reserva Tortug.Kg,Acougue,32.31
232,Musculo Pedaco Kg,Acougue,44.95
233,Musculo Picado DeliCia A/S Kg,Acougue,184.80
234,Paleta Bovina Sem Osso Kg,Acougue,46.00
235,Paleta S/O DeliCia A/S Pedaco Kg,Acougue,3385.60
236,Paleta Suina C/Osso C/Pele Resf.Kg,Acougue,1324.62
237,Paleta Suina Fattoria C/Osso C/P Resf.Kg,Acougue,1529.11
238,Paleta Suino Tonini C/Osso C/P Resf.Kg,Acougue,305.26
239,Patinho DeliCia A/S Pedaco Resf.Kg,Acougue,760.37
240,Patinho Friboi Reserva Peca Vac.Kg,Acougue,60.89
241,Patinho Moido DeliCia A/S Kg,Acougue,3103.74
242,Patinho Peca Inteira Kg,Acougue,455.13
243,Patinho Pedaco Kg,Acougue,11880.41
244,Patinho Porcionado Resf.Kg,Acougue,5189.74
245,Pe Suino Tonini Resf.Kg,Acougue,27.50
246,Peito Bovino S/O Friboi Reserva Pcvac.Kg,Acougue,58.80
247,Peito de Frango Seara Resf.Kg,Acougue,430.14
248,Peito Frango Big Fgo C/O C/P Resf.Bdj Kg,Acougue,1364.09
249,Peito Frango Big Fgo C/Osso C/P Resf.Kg,Acougue,1497.43
250,Peito Frango C/Osso Cong.Kg,Acougue,5494.44
251,Peito Frango C/Osso Maringa Resf.Kg,Acougue,3259.37
252,Peito Frango Copacol Bdja 1kg,Acougue,416.86
253,Peito Frango Copacol Resf.Kg,Acougue,9596.84
254,Peito Frango Copacol S/O S/P Bdja 1kg,Acougue,3863.76
255,Peito Frango Copacol S/Pele  Bdja 1kg,Acougue,193.92
256,Peito Frango Copacol S/Pele Kg,Acougue,589.15
257,Peixinho Especial DeliCia A/S Kg,Acougue,226.07
258,Peixinho Sanfonado DeliCia A/S Kg,Acougue,178.40
259,Pernil Pamplona C/O C/P Temp.Resf.Kg,Acougue,13.89
260,Pernil Prieto Suino Temp.Resf.Kg,Acougue,33.07
261,Pernil Suino C/Osso C/Pele Resf.Kg,Acougue,4325.15
262,Pernil Suino Fattoria C/Osso C/P Resf.Kg,Acougue,3179.44
263,Pernil Suino Frimesa Fat.Cong.Kg,Acougue,255.62
264,Pernil Suino Pamplona C/O S/P Resf.Kg,Acougue,13.10
265,Pernil Suino Tonini C/O C/P Resf.Kg,Acougue,3538.77
266,Petisco Copacol de Fgo Tem.Cong Pct 1kg,Acougue,1089.49
267,Picadinho Magro DeliCia A/S Kg,Acougue,122.67
268,Picanha Alegra Corte Facil Cong.Kg,Acougue,163.79
269,Picanha Anglo Fatiada Kg,Acougue,2357.39
270,Picanha Anglo Friboi Resf.Kg,Acougue,2228.75
271,Picanha Friboi Reserva Vac.Kg,Acougue,648.85
272,Picanha Prieto Suina Temp.Resf.Kg,Acougue,26.68
273,Picanha Resf.Vacuo Kg,Acougue,103.13
274,Picanha Suina Alegra Temp.Resf.Kg,Acougue,2544.76
275,Picanha Suina Frimesa Cong.Kg,Acougue,627.69
276,Picanha Suina Pamplona Temp.Resf.Kg,Acougue,126.75
277,Picanha Swift Maturatta Resf.Kg,Acougue,168.59
278,Ponta de Costela Bovina Congelada Kg,Acougue,1518.30
279,Ponta de Peito DeliCia A/S Pedaco Kg,Acougue,152.85
280,Posta Branca Especial Friboi Reserva Kg,Acougue,29.08
281,Posta Branca Friboi Porcionado Resf.Kg,Acougue,595.51
282,Posta Branca Friboi Reserva Peca Kg,Acougue,175.63
283,Posta Branca Friboi Reserva Peca Vac. Kg,Acougue,108.67
284,Posta Vermelha Friboi Reserva Pc Vac.Kg,Acougue,411.65
285,Posta Vermelha Peca Inteira Kg,Acougue,1220.87
286,Posta Vermelha Pedaco Kg,Acougue,1272.33
287,Posta Vermelha Porcionada Kg,Acougue,16938.92
288,Rabo Bovino Kg,Acougue,521.91
289,Recortes de Costela Suina Aurora Cong.Kg,Acougue,1185.42
290,Redbeff DeliCia A/S Kg,Acougue,948.14
291,Rim Bovino Kg,Acougue,42.92
292,Sobre Paleta Prieto Temp.Resf.Kg,Acougue,47.39
293,Sobrecoxa Big Fgo Resf.Bdj Kg,Acougue,874.86
294,Sobrecoxa Big Fgo Resf.Kg,Acougue,551.74
295,Sobrecoxa Frango Big Fgo Temp.Resf.Kg,Acougue,482.35
296,Sobrecoxa Frango Copacol S/Pele Bd 1kg,Acougue,1010.70
297,Sobrecoxa Frango Copacol S/Pele Resf.Kg,Acougue,790.69
298,Sobrecoxa Frango Copacol Temp.Resf.1kg,Acougue,189.04
299,Sobrecoxa Seara Resf.Kg,Acougue,1138.76
300,Sobrepaleta Suina Alegra Temp.Resf.Kg,Acougue,1592.30
301,Sobrepaleta Suina Extra Alegra Cong.Kg,Acougue,410.70
302,Sobrepaleta Suina Frimesa Cong.Kg,Acougue,103.08
303,Sobrepaleta Suina Pamplona Temp.Resf.Kg,Acougue,56.42
304,Stretto DeliCia A/S Kg,Acougue,854.80
305,Strogonoff Alcatra Friboi Reserva Kg,Acougue,765.94
306,Strogonoff Coxao Mole DeliCia A/S Kg,Acougue,3989.67
307,Strogonoff Patinho Friboi Reserva Kg,Acougue,695.94
308,Suan Suino Cong.Kg,Acougue,259.05
309,Suan Suino Resf.Kg,Acougue,52.61
310,Toucinho Suino Fattoria C/Pele Resf.Kg,Acougue,42.71
311,Toucinho Suino Resf.Kg,Acougue,12.38
312,Toucinho Tonini Resf.Kg,Acougue,412.42
313,Agua Coco Ducoco 1l Tp,Bebidas Frias,264.91
314,Agua Coco Ducoco 200ml Tp,Bebidas Frias,103.11
315,Agua Coco Kero-Coco 1l Tp,Bebidas Frias,1725.57
316,Agua Coco Kero-Coco 200ml Tp,Bebidas Frias,298.32
317,Agua Coco Obrigado 1l Tp,Bebidas Frias,4221.19
318,Agua Coco Obrigado 200ml Tp,Bebidas Frias,127.41
319,Agua Coco Obrigado 350ml Pet,Bebidas Frias,53.31
320,Agua Coco Obrigado Abac./Pera 1l Tp,Bebidas Frias,59.00
321,Agua Coco Obrigado Cap/Geng.1l Tp,Bebidas Frias,74.93
322,Agua Coco Sococo 1l Tp,Bebidas Frias,3804.65
323,Agua Coco Sococo 200ml  Tp,Bebidas Frias,179.88
324,Agua Coco Sococo 330ml Tp,Bebidas Frias,659.24
325,Agua Coco Trop Coco 1l,Bebidas Frias,9479.80
326,Agua Crystal Sparkling Limao 310ml La,Bebidas Frias,86.01
327,Agua Crystal Sparkling Limao 510ml Pet,Bebidas Frias,101.58
328,Agua Crystal Sparkling Tang.310ml La,Bebidas Frias,56.09
329,Agua Crystal Sparkling Tang.510ml Pet,Bebidas Frias,101.10
330,Agua de Coco Mais Coco 1l Tp,Bebidas Frias,12639.63
331,Agua Min.Ama 500ml S/Gas Pet,Bebidas Frias,494.51
332,"Agua Min.Crystal 1,5l Pet",Bebidas Frias,850.95
333,Agua Min.Crystal 300ml Pet,Bebidas Frias,236.80
334,Agua Min.Crystal 310ml Copo,Bebidas Frias,106.71
335,Agua Min.Crystal 500ml Pet,Bebidas Frias,1167.11
336,Agua Min.Crystal 5l,Bebidas Frias,973.76
337,"Agua Min.Crystal C/Gas 1,5l Pet",Bebidas Frias,660.35
338,Agua Min.Crystal C/Gas 500ml Pet,Bebidas Frias,929.62
339,Agua Min.Crystal Vip 350ml C./Gas Pet,Bebidas Frias,222.32
340,Agua Min.Crystal Vip 350ml Pet,Bebidas Frias,204.42
341,Agua Min.Font Life 10l Pet,Bebidas Frias,2857.94
342,Agua Min.Font Life 5l Pet,Bebidas Frias,2067.59
343,"Agua Min.Font Life C/Gas 1,5l Pet",Bebidas Frias,1121.35
344,Agua Min.Font Life C/Gas 510ml Pet,Bebidas Frias,1034.19
345,Agua Min.Font Life S/Gas 1.5l Pet,Bebidas Frias,792.15
346,Agua Min.Font Life S/Gas 510ml Pet,Bebidas Frias,431.34
347,Agua Min.Font Life Sport 510ml S/Gas Pet,Bebidas Frias,472.05
348,Agua Min.Ita.San Pellegrino 750ml Gf,Bebidas Frias,66.07
349,Agua Min.Maceratti 1.5l Pet,Bebidas Frias,186.20
350,Agua Min.Maceratti 300ml Copo,Bebidas Frias,114.27
351,Agua Min.Maceratti 502ml,Bebidas Frias,164.85
352,Agua Min.Maceratti 5l,Bebidas Frias,427.91
353,Agua Min.Maceratti C/Gas 2l Pet,Bebidas Frias,339.63
354,Agua Min.Maceratti C/Gas 505ml,Bebidas Frias,186.42
355,"Agua Min.Nestle Pureza Vital 1,5l Pet",Bebidas Frias,172.19
356,Agua Min.Nestle Pureza Vital 510ml Pet,Bebidas Frias,188.76
357,Agua Min.O Fino S/Gas 350ml Pet,Bebidas Frias,66.25
358,Agua Min.O.Fino 1.5l,Bebidas Frias,689.92
359,Agua Min.O.Fino 10l,Bebidas Frias,2247.63
360,Agua Min.O.Fino 500ml Jr,Bebidas Frias,380.83
361,Agua Min.O.Fino 6l,Bebidas Frias,1197.72
362,"Agua Min.O.Fino C/Gas 1,5l Pet",Bebidas Frias,614.40
363,Agua Min.O.Fino C/Gas 350ml Pet,Bebidas Frias,122.85
364,Agua Min.O.Fino C/Gas 500ml Pet,Bebidas Frias,888.04
365,Agua Min.Perrier C/Gas 330ml,Bebidas Frias,57.70
366,"Agua Min.Proteg 1,5 Pet",Bebidas Frias,779.41
367,Agua Min.Proteg 502ml Pet,Bebidas Frias,734.78
368,Agua Min.Proteg 5l Pet,Bebidas Frias,818.64
369,Agua Min.Proteg C/Gas 2l Pet,Bebidas Frias,651.11
370,Agua Min.Proteg C/Gas 505ml Pet,Bebidas Frias,284.39
371,Agua Min.Sao Lourenco C/Gas 1.260ml Pet,Bebidas Frias,136.08
372,Agua Min.Sao Lourenco C/Gas 300ml Pet,Bebidas Frias,45.14
373,Agua Min.Sao Lourenco S/Gas 300ml Pet,Bebidas Frias,42.70
374,"Agua Min.Schinc.C/Gas 1,5l",Bebidas Frias,284.31
375,Agua Min.Schinc.C/Gas 500ml Pet,Bebidas Frias,61.16
376,"Agua Min.Schinc.S/Gas 1,5l",Bebidas Frias,48.27
377,Agua Min.Schinc.S/Gas 500ml Pet,Bebidas Frias,157.38
378,Agua Min.Sferrie 1.5l C/Gas Pet,Bebidas Frias,330.14
379,Agua Min.Sferrie 1.5l Pet,Bebidas Frias,466.16
380,Agua Min.Sferrie 510ml C/Gas Pet,Bebidas Frias,446.36
381,Agua Min.Sferrie 510ml Pet,Bebidas Frias,680.49
382,Agua Min.Sferrie 5l,Bebidas Frias,174.27
383,Agua Min.Sferrie Premium C/Gas 410ml Pet,Bebidas Frias,35.25
384,Agua Min.Sferrie Premium S/Gas 410ml Pet,Bebidas Frias,58.28
385,Beb.Ades Soja Abac.1l Tp,Bebidas Frias,976.68
386,Beb.Ades Soja Abac.200ml Tp,Bebidas Frias,157.76
387,Beb.Ades Soja Lja 1l Tp,Bebidas Frias,832.48
388,Beb.Ades Soja Lja 200ml Tp,Bebidas Frias,203.47
389,Beb.Ades Soja Maca 1l Tp,Bebidas Frias,1536.24
390,Beb.Ades Soja Maca 200ml Tp,Bebidas Frias,440.85
391,Beb.Ades Soja Mrgo 1l Tp,Bebidas Frias,864.07
392,Beb.Ades Soja Mrgo 200ml Tp,Bebidas Frias,246.82
393,Beb.Ades Soja Pess.1l Tp,Bebidas Frias,856.73
394,Beb.Ades Soja Uva 1l Tp,Bebidas Frias,873.93
395,Beb.Ades Soja Uva 200ml Tp,Bebidas Frias,350.24
396,Beb.Aquarius Fresh Limao 510ml Pet,Bebidas Frias,371.57
397,Beb.Cini Cristal Limao 600ml Pet,Bebidas Frias,619.92
398,Beb.Energ.Burn 1l Pet,Bebidas Frias,729.87
399,Beb.Energ.Burn 260ml,Bebidas Frias,95.36
400,Beb.Energ.Flying Horse 1l,Bebidas Frias,460.53
401,Beb.Energ.Furioso 2l,Bebidas Frias,3180.64
402,Beb.Energ.Fusion 1l Pet,Bebidas Frias,628.30
403,Beb.Energ.Fusion Cha Lim./Hort.310ml La,Bebidas Frias,170.85
404,Beb.Energ.Fusion Lja 310ml La,Bebidas Frias,148.77
405,Beb.Energ.Insano 1l,Bebidas Frias,784.08
406,Beb.Energ.Insano 269ml La,Bebidas Frias,43.80
407,Beb.Energ.Monster 500ml La Lo-Carb,Bebidas Frias,55.32
408,Beb.Energ.Monster Assault 473ml La,Bebidas Frias,449.04
409,Beb.Energ.Monster Energy 473ml La,Bebidas Frias,1911.81
410,Beb.Energ.Monster Khaos 473ml La,Bebidas Frias,575.46
