,nm_produto,ds_classe2,vl_total
225,Patinho Porcionado Resf.Kg,Acougue,1723.78
226,Pe Suino Resf.Kg,Acougue,7.80
227,Peito de Frango Seara Resf.Kg,Acougue,78.10
228,Peito Frango Big Fgo C/O C/P Resf.Bdj Kg,Acougue,559.61
229,Peito Frango Big Fgo C/Osso C/P Resf.Kg,Acougue,440.97
230,Peito Frango C/Osso Cong.Kg,Acougue,1051.73
231,Peito Frango C/Osso Maringa Resf.Kg,Acougue,1116.42
232,Peito Frango Copacol Bdja 1kg,Acougue,131.64
233,Peito Frango Copacol Resf.Kg,Acougue,2549.01
234,Peito Frango Copacol S/O S/P Bdja 1kg,Acougue,1583.99
235,Peito Frango Copacol S/Pele  Bdja 1kg,Acougue,96.96
236,Peito Frango Copacol S/Pele Kg,Acougue,145.46
237,Peixinho Sanfonado DeliCia A/S Kg,Acougue,43.62
238,Pernil Pamplona C/O C/P Temp.Resf.Kg,Acougue,12.01
239,Pernil Suino C/Osso C/Pele Resf.Kg,Acougue,894.65
240,Pernil Suino Fattoria C/Osso C/P Resf.Kg,Acougue,1245.19
241,Pernil Suino Frimesa Fat.Cong.Kg,Acougue,158.70
242,Pernil Suino Tonini C/O C/P Resf.Kg,Acougue,1073.75
243,Petisco Copacol de Fgo Tem.Cong Pct 1kg,Acougue,268.00
244,Picadinho Magro DeliCia A/S Kg,Acougue,52.21
245,Picanha Alegra Corte Facil Cong.Kg,Acougue,51.80
246,Picanha Anglo Fatiada Kg,Acougue,1389.28
247,Picanha Anglo Friboi Resf.Kg,Acougue,445.30
248,Picanha Friboi Reserva Vac.Kg,Acougue,547.00
249,Picanha Friboi Resf.Vacuo Kg,Acougue,166.32
250,Picanha Resf.Vacuo Kg,Acougue,108.84
251,Picanha Suina Alegra Temp.Resf.Kg,Acougue,607.02
252,Picanha Suina Frimesa Cong.Kg,Acougue,269.31
253,Picanha Suina Pamplona Temp.Resf.Kg,Acougue,38.31
254,Ponta de Costela Bovina Congelada Kg,Acougue,823.99
255,Ponta de Peito DeliCia A/S Pedaco Kg,Acougue,20.55
256,Posta Branca Friboi Porcionado Resf.Kg,Acougue,115.77
257,Posta Branca Friboi Reserva Peca Vac. Kg,Acougue,80.72
258,Posta Vermelha Friboi Reserva Pc Vac.Kg,Acougue,234.49
259,Posta Vermelha Peca Inteira Kg,Acougue,201.28
260,Posta Vermelha Pedaco Kg,Acougue,467.64
261,Posta Vermelha Porcionada Kg,Acougue,5279.08
262,Rabo Bovino Kg,Acougue,186.89
263,Recortes de Costela Suina Aurora Cong.Kg,Acougue,192.30
264,Redbeff DeliCia A/S Kg,Acougue,353.67
265,Rim Bovino Kg,Acougue,16.37
266,Sobre Paleta Prieto Temp.Resf.Kg,Acougue,23.13
