,nm_produto,ds_classe2,vl_total
178,Paleta Suina Fattoria C/Osso C/P Resf.Kg,Acougue,73.02
179,Paleta Suino Tonini C/Osso C/P Resf.Kg,Acougue,35.67
180,Patinho DeliCia A/S Pedaco Resf.Kg,Acougue,111.35
181,Patinho Moido DeliCia A/S Kg,Acougue,250.08
182,Patinho Peca Inteira Kg,Acougue,41.02
183,Patinho Pedaco Kg,Acougue,773.41
184,Patinho Porcionado Resf.Kg,Acougue,424.94
185,Pe Suino Tonini Resf.Kg,Acougue,9.76
186,Peito de Frango Seara Resf.Kg,Acougue,62.98
187,Peito Frango Big Fgo C/O C/P Resf.Bdj Kg,Acougue,126.42
188,Peito Frango Big Fgo C/Osso C/P Resf.Kg,Acougue,152.16
189,Peito Frango C/Osso Cong.Kg,Acougue,368.29
190,Peito Frango C/Osso Maringa Resf.Kg,Acougue,312.81
191,Peito Frango Copacol Bdja 1kg,Acougue,10.97
192,Peito Frango Copacol Resf.Kg,Acougue,914.35
193,Peito Frango Copacol S/O S/P Bdja 1kg,Acougue,228.44
194,Peito Frango Copacol S/Pele  Bdja 1kg,Acougue,12.12
195,Peito Frango Copacol S/Pele Kg,Acougue,31.99
196,Pernil Suino C/Osso C/Pele Resf.Kg,Acougue,310.31
197,Pernil Suino Fattoria C/Osso C/P Resf.Kg,Acougue,151.11
198,Pernil Suino Tonini C/O C/P Resf.Kg,Acougue,136.87
199,Petisco Copacol de Fgo Tem.Cong Pct 1kg,Acougue,72.18
200,Picadinho Magro DeliCia A/S Kg,Acougue,19.18
201,Picanha Alegra Corte Facil Cong.Kg,Acougue,13.56
202,Picanha Anglo Fatiada Kg,Acougue,173.29
203,Picanha Anglo Friboi Resf.Kg,Acougue,188.18
204,Picanha Suina Alegra Temp.Resf.Kg,Acougue,186.43
205,Picanha Suina Frimesa Cong.Kg,Acougue,52.50
206,Picanha Suina Pamplona Temp.Resf.Kg,Acougue,47.00
207,Ponta de Costela Bovina Congelada Kg,Acougue,163.82
208,Posta Branca Friboi Reserva Peca Kg,Acougue,30.37
209,Posta Vermelha Friboi Reserva Pc Vac.Kg,Acougue,42.28
210,Posta Vermelha Peca Inteira Kg,Acougue,79.21
211,Posta Vermelha Pedaco Kg,Acougue,39.69
212,Posta Vermelha Porcionada Kg,Acougue,1145.34
213,Recortes de Costela Suina Aurora Cong.Kg,Acougue,77.71
214,Redbeff DeliCia A/S Kg,Acougue,120.76
215,Rim Bovino Kg,Acougue,16.17
216,Sobrecoxa Big Fgo Resf.Bdj Kg,Acougue,48.56
217,Sobrecoxa Big Fgo Resf.Kg,Acougue,42.76
218,Sobrecoxa Frango Big Fgo Temp.Resf.Kg,Acougue,38.76
219,Sobrecoxa Frango Copacol S/Pele Bd 1kg,Acougue,96.82
220,Sobrecoxa Frango Copacol S/Pele Resf.Kg,Acougue,47.54
221,Sobrecoxa Seara Resf.Kg,Acougue,65.20
222,Sobrepaleta Suina Alegra Temp.Resf.Kg,Acougue,60.42
223,Stretto DeliCia A/S Kg,Acougue,63.73
224,Strogonoff Alcatra Friboi Reserva Kg,Acougue,91.58
225,Strogonoff Coxao Mole DeliCia A/S Kg,Acougue,399.54
226,Strogonoff Patinho Friboi Reserva Kg,Acougue,58.60
227,Suan Suino Cong.Kg,Acougue,15.32
228,Toucinho Suino Fattoria C/Pele Resf.Kg,Acougue,2.31
229,Toucinho Tonini Resf.Kg,Acougue,31.86
230,Agua Coco Ducoco 200ml Tp,Bebidas Frias,11.45
231,Agua Coco Kero-Coco 1l Tp,Bebidas Frias,58.15
232,Agua Coco Kero-Coco 200ml Tp,Bebidas Frias,17.78
233,Agua Coco Obrigado 1l Tp,Bebidas Frias,224.95
234,Agua Coco Obrigado 200ml Tp,Bebidas Frias,17.43
235,Agua Coco Obrigado 350ml Pet,Bebidas Frias,5.50
236,Agua Coco Obrigado Cap/Geng.1l Tp,Bebidas Frias,32.45
237,Agua Coco Sococo 1l Tp,Bebidas Frias,155.36
238,Agua Coco Sococo 200ml  Tp,Bebidas Frias,37.07
239,Agua Coco Sococo 330ml Tp,Bebidas Frias,52.71
240,Agua Coco Trop Coco 1l,Bebidas Frias,789.73
241,Agua Crystal Sparkling Limao 310ml La,Bebidas Frias,12.08
242,Agua Crystal Sparkling Limao 510ml Pet,Bebidas Frias,14.61
243,Agua Crystal Sparkling Tang.310ml La,Bebidas Frias,7.77
244,Agua Crystal Sparkling Tang.510ml Pet,Bebidas Frias,28.98
245,Agua de Coco Mais Coco 1l Tp,Bebidas Frias,909.36
246,Agua Min.Ama 500ml S/Gas Pet,Bebidas Frias,28.35
247,"Agua Min.Crystal 1,5l Pet",Bebidas Frias,74.39
248,Agua Min.Crystal 300ml Pet,Bebidas Frias,15.56
249,Agua Min.Crystal 310ml Copo,Bebidas Frias,7.77
250,Agua Min.Crystal 500ml Pet,Bebidas Frias,127.54
251,Agua Min.Crystal 5l,Bebidas Frias,51.74
252,"Agua Min.Crystal C/Gas 1,5l Pet",Bebidas Frias,28.20
253,Agua Min.Crystal C/Gas 500ml Pet,Bebidas Frias,96.00
254,Agua Min.Crystal Vip 350ml C./Gas Pet,Bebidas Frias,18.35
255,Agua Min.Crystal Vip 350ml Pet,Bebidas Frias,28.93
256,Agua Min.Font Life 10l Pet,Bebidas Frias,285.69
257,Agua Min.Font Life 5l Pet,Bebidas Frias,133.84
258,"Agua Min.Font Life C/Gas 1,5l Pet",Bebidas Frias,59.45
259,Agua Min.Font Life C/Gas 510ml Pet,Bebidas Frias,70.68
260,Agua Min.Font Life S/Gas 1.5l Pet,Bebidas Frias,51.33
261,Agua Min.Font Life S/Gas 510ml Pet,Bebidas Frias,20.04
262,Agua Min.Font Life Sport 510ml S/Gas Pet,Bebidas Frias,23.45
263,Agua Min.Ita.San Pellegrino 750ml Gf,Bebidas Frias,9.13
