,nm_produto,ds_classe2,vl_total
134,File Mignon Friboi Reserva Pedaco Kg,Acougue,12.27
135,File Mignon Friboi Reserva Vac.Kg,Acougue,3638.66
136,File Mignon Prieto Suino Temp.Resf.Kg,Acougue,92.53
137,File Mignon Suino Alegra Cong.Kg,Acougue,1246.64
138,File Mignon Suino Pamplona Temp.Resf.Kg,Acougue,184.61
139,File Peito Fgo Big Fgo Resf.Bdj Kg,Acougue,7887.98
140,File Peito Fgo Copacol Temp.Resf.1kg,Acougue,736.27
141,File Peito Frango Big Fgo Temp.Resf.Kg,Acougue,1189.69
142,File Peito Frango Copacol Resf.Kg,Acougue,25550.38
143,File Peito Frango Maringa Resf.Kg,Acougue,11130.13
144,File Peito Frango Seara Resf.Kg,Acougue,5506.35
145,Flanbeff de Patinho DeliCia A/S Kg,Acougue,2755.53
146,Flatbeef Coxao Mole DeliCia A/S Kg,Acougue,858.29
147,Fraldinha Friboi Resf.Kg,Acougue,10473.05
148,Fraldinha Grill do Chef Resf.Vacuo Kg,Acougue,2120.05
149,Fraldinha Swift Maturatta Resf.Kg,Acougue,164.05
150,Frango A Passarinho Big Fgo Resf.Bdj Kg,Acougue,1412.72
151,Frango A Passarinho Big Fgo Resf.Kg,Acougue,1207.73
152,Frango A Passarinho Big Fgo Temp.Resf.Kg,Acougue,2503.23
153,Frango A Passarinho Copacol Resf.Kg,Acougue,2536.20
154,Frango A Passarinho Copacol Temp.Resf.1k,Acougue,283.08
155,Frango Big Resf.Kg,Acougue,14757.31
156,Frango Caipira Ivaipora Cortado Kg,Acougue,5019.44
157,Frango Caipira Ivaipora Inteiro Kg,Acougue,26.59
158,Frango Cong.Kg,Acougue,30520.09
159,Frango Copacol Cong.Kg,Acougue,556.99
160,Frango Copacol Resf.Kg,Acougue,10781.62
161,Frango Resfriado Maringa Kg,Acougue,18500.84
162,Frango Sadia Assa Facil Temp.Cong.Kg,Acougue,1422.86
163,Frango Sadia Cong.Kg,Acougue,35.95
164,Frango Seara Assa Facil Temp.Cong.Kg,Acougue,779.77
165,Galinha Big Frango Kg Cong.,Acougue,923.95
166,Galinha Fragnani Cong.Kg,Acougue,225.78
167,Galo Big Frango Kg Cong.,Acougue,10.96
168,Galo do Sitio Cong.Kg,Acougue,711.98
169,Lingua Bovina Kg,Acougue,1054.71
170,Linguica Alegra Pernil Cong.600g,Acougue,763.62
171,Linguica Alegra Pernil Resf.Kg,Acougue,2572.80
172,Linguica Alegra Suina 600g C/Bacon,Acougue,1651.52
173,Linguica Alegra Suina 600g C/Cheiro Verd,Acougue,1231.20
174,Linguica Alegra Suina 600g C/Pimenta,Acougue,672.00
175,Linguica Alegra Suina 600g C/Queijo,Acougue,2156.32
176,Linguica Alegra Suina Cong.600g,Acougue,647.92
177,Linguica Alegra Suina Resf.Kg,Acougue,24841.67
178,Linguica Alegra Toscana Resf.Kg,Acougue,1723.97
179,Linguica Aurora Pernil Resf.Kg,Acougue,24225.90
180,Linguica Bizinelli Fina Especial Kg,Acougue,6229.65
181,Linguica Bizinelli Toscana Kg,Acougue,5326.76
182,Linguica Copacol Churrasco Cong.1kg,Acougue,610.65
183,Linguica Copacol de Frango Cong.1kg,Acougue,4306.91
184,Linguica Copacol de Frango Resf.1kg,Acougue,26641.79
185,Linguica Fattoria Cheiro Verde Resf.Kg,Acougue,7334.51
186,Linguica Fattoria Toscana Resf.Kg,Acougue,888.02
187,Linguica Frimesa Calab.Frescal Cong.1kg,Acougue,795.48
188,Linguica Frimesa Frango Fininha Cong.1kg,Acougue,741.87
189,Linguica Frimesa Pernil Suina Resf.1kg,Acougue,1260.05
190,Linguica Frimesa Pernil Suina Resf.Kg,Acougue,1577.78
191,Linguica Frimesa Pernil Suino Cong.1kg,Acougue,1439.20
192,Linguica Frimesa Toscana Cong.1kg,Acougue,1501.56
193,Linguica Frimesa Toscana Kg Cong.,Acougue,5096.22
194,Linguica Frimesa Toscana Resf.Kg,Acougue,34120.60
195,Linguica Frimesa Toscana Resf.Pct 1kg,Acougue,2294.76
196,Linguica Lar Frango Fininha Resf.1kg,Acougue,2294.01
197,Linguica Mista Suino Sabor Kg,Acougue,11346.53
198,Linguica Pamplona Pernil Apim.Resf.600g,Acougue,56.34
199,Linguica Pamplona Pernil Erva Resf.600g,Acougue,65.73
200,Linguica Pamplona Pernil Resf.600g,Acougue,93.90
201,Linguica Perdigao Brasa Apiment.Cong.1kg,Acougue,236.56
202,Linguica Perdigao Carne Suina Resf.700g,Acougue,2061.28
203,Linguica Perdigao Pernil Na Brasacong.1g,Acougue,1790.66
204,Linguica Perdigao Toscana 600g Alho/Erva,Acougue,331.78
205,Linguica Perdigao Toscana 600g C/Queijo,Acougue,448.31
206,Linguica Perdigao Toscana 600g Fgo/Bacon,Acougue,254.64
207,Linguica Perdigao Toscana 600g Pimen.Biq,Acougue,224.89
208,Linguica Perdigao Toscana Brasa Cong.1kg,Acougue,1011.03
209,Linguica Sadia Toscana 950g,Acougue,1041.68
210,Linguica Seara de Frango Cong.700g,Acougue,815.62
211,Linguica Seara Toscana Cong.700g,Acougue,262.40
212,Linguica Tonini Pernil Resf.Kg,Acougue,1200.79
213,Linguica Tonini Resf.Ervas Finas Kg,Acougue,3932.17
214,Linguica Tonini Tc Kg,Acougue,32873.16
215,Lombo Alegra Corte Facil Cong.Kg,Acougue,241.49
216,Lombo Alegra Ingles Corte Facil Cong.Kg,Acougue,135.61
