,nm_produto,ds_classe2,vl_total
129,Leite Coco Mais Coco 200ml Gf,Seca Doce,13.12
130,Gelatina Royal Abac.25g,Seca Doce,10.34
131,Creme de Leite Piracanjuba 200g Tp,Seca Doce,176.07
132,Refrig.Itubaina 2l Pet,Bebidas Frias,43.00
133,Deterg.Minuano Fresh 500ml,Limpeza,12.51
134,Leite Lider Uht 1l Rest.Lactose,Leite,38.92
135,Pao Pullman Artesano 500g,Paes E Bolos Industrializados,25.95
136,Leite Lactobom Past.1l Tipo C,Leite,21.42
137,Shampoo Ox 240ml Oils Nut.Int,Perfumaria/Higiene E Beleza,53.94
138,Desod.Dove Aero Comp.54g Powder Soft,Perfumaria/Higiene E Beleza,12.80
139,Presunto Frimesa Kg,Fiambreria,48.98
140,Aveia Quaker 200g Flocos Finos,Seca Doce,20.93
141,Salg.Pipoteca Manteiga 110g,Seca Leve,5.76
142,Refrig.Pepsi Cola 1l Pet,Bebidas Frias,196.02
143,Choc.Garoto Baton Bco 16g,Seca Leve,5.95
144,Hershey.S Mais Extra Crem.115g,Seca Leve,27.09
145,Gel Fixador Summer 220g Media Fator 4,Perfumaria/Higiene E Beleza,12.00
146,Leite Tirol Uht 1l Integral,Leite,726.51
147,Bisc.Isabela Tort.Choc.Suico 160g,Seca Leve,5.92
148,Papel Hig.Mili Neutro Fd 30m L12 P11,Limpeza,121.78
149,Inset.Sbp Citronela 300ml Gts 150ml,Limpeza,9.90
150,Abs.Always M.Seca C/Abas L8 P7,Perfumaria/Higiene E Beleza,17.45
151,Bisc.Isabela Amant.Sort.400g,Seca Leve,34.92
152,Bisc.Marilan Amant.Vit.330g,Seca Leve,7.10
153,Bisc.Visconti Waffer Choc.120g,Seca Leve,22.61
154,Bisc.Visconti Waffer Limao 120g,Seca Leve,10.71
155,Marg.Qualy 1kg C/Sal,"Frios,Massas E Gordurosos",25.74
156,Cj.Shampoo+Condic.Seda 325ml Ceram.C15%,Perfumaria/Higiene E Beleza,38.70
157,Cj.Shampoo Dove 400ml+Condic.200ml R.Com,Perfumaria/Higiene E Beleza,54.35
158,Bisc.Visconti Rech.Choc.125g,Seca Leve,14.08
159,Bisc.Visconti Rech.Mrgo 125g,Seca Leve,9.68
160,Queijo Mussarela Pedaco Kg,Fiambreria,643.43
161,Bisc.Isabela Lte 400g,Seca Leve,43.71
162,"Suco Cini Mix Ftas Citricas 1,5l Pet",Bebidas Frias,9.76
163,Papel Hig.Neve Neutro Fd 30m L.16 P.15,Limpeza,89.39
164,Salsicha Perdigao Hot Dog Resf.Kg,Fiambreria,197.22
165,Leite Tirol Uht 1l Semidesnatado,Leite,141.75
166,Agua Sanit.Girando Sol 2l,Limpeza,27.14
167,Leite Santa Clara Uht 1l Int.C/Tampa,Leite,306.96
168,Refr.Po Nutrinho Tang.25g,Bebidas Frias,5.52
169,Manteiga Batavo 200g C/Sal,"Frios,Massas E Gordurosos",44.73
170,Iog.Batavo Nat.170g Integral,Laticinios,37.48
171,Filtro Papel Brigitta 103 C/30,Seca Pesada,57.43
172,Ovos de Codorna 30un,Granjeiros,7.11
173,Bisc.Marilan Amant.Nata 330g,Seca Leve,3.55
174,Bisc.Marilan Pit Stop Rech.Misto 105g,Seca Leve,2.28
175,Bisc.Marilan Pit Stop Rech.Salsa 105g,Seca Leve,9.41
176,Bisc.Marilan Pit Stop Rech.Qjo 105g,Seca Leve,6.84
177,Bisc.Belvita Avela 75g,Seca Leve,13.93
178,Bisc.Belvita Maca/Canela 75g,Seca Leve,24.21
179,Barra Cer.Nesfit Ban/Aveia 60gr,Seca Leve,9.81
180,Barra Cer.Nesfit Mrgo/Iog.60gr,Seca Leve,3.45
