,nm_produto,ds_classe2,vl_total
202,Lombo Suino Alegra Temp.Resf.Kg,Acougue,796.67
203,Lombo Suino Fattoria Resf.Kg,Acougue,263.83
204,Lombo Suino Frimesa Gong.Kg,Acougue,48.60
205,Lombo Suino Pamplona S/O Resf.Kg,Acougue,20.47
206,Lombo Suino Pamplona Temp.Resf.Kg,Acougue,107.51
207,Lombo Suino Resf.Kg,Acougue,10.45
208,Maminha Friboi Reserva Peca Vac.Kg,Acougue,45.24
209,Medalhao do Alcatra Friboi Reserva Kg,Acougue,170.45
210,Meio da Asa Big Fgo Resf.Bdj  Kg,Acougue,517.07
211,Meio da Asa Big Fgo Temp.Resf.Kg,Acougue,745.51
212,Meio da Asa Copacol Kg,Acougue,1253.71
213,Meio da Asa Frango Copacol Temp.Resf.1kg,Acougue,182.50
214,Meio da Asa Seara Resf.Kg,Acougue,155.39
215,Miolo Alcatra DeliCia A/S Pedaco Kg,Acougue,186.30
216,Miolo Alcatra Friboi Reserva Vac.Kg,Acougue,38.36
217,Miolo Alcatra Swift Maturatta Resf.Kg,Acougue,85.40
218,Mocoto Bovino Kg,Acougue,320.42
219,Moela de Frango Big Fgo Resf.Kg,Acougue,442.85
220,Moela de Frango Copacol Resf.Kg,Acougue,541.13
221,Musculo Com Osso Kg,Acougue,89.49
222,Musculo DeliCia A/S Resf.Pedaco Kg,Acougue,321.64
223,Musculo Friboi Porcionado Resf.Kg,Acougue,17.54
224,Musculo Friboi Reserva Resf.Peca Vac.Kg,Acougue,58.48
225,Musculo Mole DeliCia A/S Especial Kg,Acougue,46.50
226,Musculo Mole Friboi Reserva Tortug.Kg,Acougue,17.25
227,Musculo Picado DeliCia A/S Kg,Acougue,24.33
228,Paleta Bovina Sem Osso Kg,Acougue,40.04
229,Paleta S/O DeliCia A/S Pedaco Kg,Acougue,1559.66
230,Paleta Suina C/Osso C/Pele Resf.Kg,Acougue,660.36
231,Paleta Suina Fattoria C/Osso C/P Resf.Kg,Acougue,723.21
232,Paleta Suino Tonini C/Osso C/P Resf.Kg,Acougue,124.51
233,Patinho DeliCia A/S Pedaco Resf.Kg,Acougue,146.41
234,Patinho Friboi Reserva Peca Vac.Kg,Acougue,31.63
235,Patinho Moido DeliCia A/S Kg,Acougue,1719.69
236,Patinho Peca Inteira Kg,Acougue,249.62
237,Patinho Pedaco Kg,Acougue,4434.66
238,Patinho Porcionado Resf.Kg,Acougue,2729.55
239,Pe Suino Resf.Kg,Acougue,7.87
240,Pe Suino Tonini Resf.Kg,Acougue,5.74
241,Peito Bovino S/O Friboi Reserva Pcvac.Kg,Acougue,10.25
242,Peito de Frango Seara Resf.Kg,Acougue,100.35
243,Peito Frango Big Fgo C/O C/P Resf.Bdj Kg,Acougue,689.90
244,Peito Frango Big Fgo C/Osso C/P Resf.Kg,Acougue,912.97
245,Peito Frango C/Osso Cong.Kg,Acougue,1755.61
