,nm_produto,ds_classe2,vl_total
191,Massa Nissin Yakissoba 500g,Seca Leve,25.85
192,File de Peito de Frango Cong.Kg,Acougue,412.61
193,Milho Verde Predilecta 200g La,Seca Salgada,275.82
194,Filtro Papel Melitta 103 C/30,Seca Pesada,303.47
195,Massa Galo Smla Alfabeto 500g,Seca Leve,3.38
196,Achoc.Nescau 3.0 760g Sache,Seca Doce,96.80
197,Massa D.Benta C/O Ave Maria 500g,Seca Leve,4.36
198,Massa D.Benta C/O Ninho 500g,Seca Leve,13.90
199,Massa D.Benta C/O Pena 500g,Seca Leve,32.70
200,Massa D.Benta C/O Paraf.500g,Seca Leve,60.84
201,Massa D.Benta C/O Spgt 500g,Seca Leve,98.37
202,Molho Tomate Bonare Trad.340g Sache,Seca Salgada,214.51
203,"Choc.Nestle Kit Kat 41,5g",Seca Leve,233.32
204,Massa Nissin L6 P5 85gr,Seca Leve,292.12
205,Cerv.Heineken 350ml La,Bebidas Frias,87.36
206,Refrig.Fanta Uva 2l Pet,Bebidas Frias,70.26
207,Bolo Pullman Ana Maria 70g Gotas Choc.,Paes E Bolos Industrializados,40.30
208,Bisc.Zeze Palito Choc.300g,Seca Leve,16.16
209,Bisc.Isabela Tort.Limao 160g,Seca Leve,17.76
210,Bisc.Isabela Tort.Due Choc/Ftas Verm.160,Seca Leve,21.00
211,Bisc.Isabela Rech.Mousse Mrgo/Choc.150g,Seca Leve,31.92
212,Bisc.Isabela Tort.Due Truf/Mrgo 160g,Seca Leve,36.75
213,"Refrig.Pepsi Cola 3,3l Pet",Bebidas Frias,17.98
214,Beb.Lactea Choco Milk 200ml,Leite,83.37
215,Sab.Phebo 90g F.Manha Glic.,Perfumaria/Higiene E Beleza,5.68
216,Refrig.Pepsi-Cola Twist 2l Pet,Bebidas Frias,34.95
217,Cerv.Itaipava Malzbier 355ml Ln,Bebidas Frias,29.30
218,Bisc.Isabela Tort.Trufa 160g,Seca Leve,22.20
219,Salg.E.Chips Cheetos Lua 140g,Seca Leve,50.90
220,Inset.Raid Multi B.Agua L450ml P300ml,Limpeza,125.72
221,Bisc.Oreo Rech.Baun.90g,Seca Leve,33.02
222,Choc.Lacta Oreo Bco 135gr,Seca Leve,65.23
223,Choc.Lacta Shot 135gr,Seca Leve,121.11
224,Esmalte Beautycolor Cream.Est.Livre,Perfumaria/Higiene E Beleza,5.70
225,Creme Trat.Pantene 15ml Amp.C/3 Hidroc.,Perfumaria/Higiene E Beleza,48.61
226,Cerv.Patagonia Boheimian 740ml,Bebidas Frias,94.50
227,Cerv.Dinam Faxe Premium 1l La,Bebidas Frias,56.91
228,Desod.Axe Aero 96g/152ml Black,Perfumaria/Higiene E Beleza,26.56
229,Cerv.Heineken 330ml Ln,Bebidas Frias,167.51
230,Bisc.Oreo Rech.Mrgo Milk Shake 90g,Seca Leve,16.18
231,Cera Depimiel 200g Quente P/Micro Nat.,Perfumaria/Higiene E Beleza,12.77
232,Cj.Bisc.Passatempo Rech.Choc.520g L4p3,Seca Leve,40.13
233,Suco Super Suco 900ml Lja Integ.,Laticinios,76.89
234,Bisc.Oreo Golden Rech.Baun.90g,Seca Leve,9.42
235,Salg.E.Chips Fandangos Pres.280g,Seca Leve,26.10
236,Desod.Suave Aero 150ml Sport Fresch Mas.,Perfumaria/Higiene E Beleza,8.29
237,Refrig.Fanta Guarana 2l Pet,Bebidas Frias,181.59
238,Cerv.Antarc.Pilsen 269ml La,Bebidas Frias,354.71
239,Cocada Delakasa Diet Ao Lte 200g,Seca Doce,10.73
240,Queijo Santa Clara Mussarela Fat.Kg,Fiambreria,117.42
241,Choc.Lacta Rech.S.De Valsa 90g,Seca Leve,3.99
242,Cereal Kellogg.S Corn Flakes 200g,Seca Doce,15.36
243,Aveia Jasmine Integ.Flocos Finos 500g,Seca Doce,31.95
244,Iog.Nestle Nat.160g Desnatado,Laticinios,47.10
245,Iog.Lacfree 140gr Natural,Laticinios,5.18
246,Adoc.Magro C/Sucral.80ml,Seca Doce,3.19
247,Queijo Real Minas Light Cry Kg,Laticinios,25.57
248,Vinagre Ilha Alcool 750ml,Seca Salgada,98.42
249,Leite Condensado Frimesa 395g Tp,Seca Doce,251.15
250,Sal Lebre Refinado 1kg,Seca Salgada,16.80
251,Gelatina Royal Mrgo 25g,Seca Doce,68.59
252,Gelatina Royal Mrcja 25g,Seca Doce,17.38
253,Gelatina Royal Limao 25g,Seca Doce,45.80
254,Gelatina Royal Framb.25g,Seca Doce,46.30
255,Deterg.Ype Neutro 500ml,Limpeza,84.00
256,Oleo Liza Soja 900ml Pet,Seca Pesada,143.05
257,Doce D.Aldeia Goiaba 400g,Seca Doce,5.49
258,Sabao Em Po Brilhante L2kg P1.8kg,Limpeza,653.00
259,Farinha de Trigo Anaconda 1kg,Seca Pesada,152.20
260,Tempero Sazon Amarelo 60g,Seca Salgada,21.90
261,Tempero Sazon Vermelho 60g,Seca Salgada,181.36
262,Massa Todesc.C/O Spgt Veneza 500g,Seca Leve,98.67
263,Fermento Royal Po 100g,Seca Doce,180.52
264,Limpa Forno Easy-Off 250g,Limpeza,38.68
265,Queijo Teixeira Parm.Ral.50g,Laticinios,135.63
266,Mist.P/Bolo Fleischmann Baun.450g,Seca Doce,14.92
267,Antissep.Buc.Listerine 500ml Def.,Perfumaria/Higiene E Beleza,19.41
268,Feijao Caldo Bom Preto 1kg,Seca Pesada,327.21
269,Extrato Tomate Elefante 340g La,Seca Salgada,257.37
270,Mist.P/Bolo Fleischmann Fuba 450g,Seca Doce,4.83
271,Gelatina Royal Cereja 25g,Seca Doce,47.72
272,Gelatina Royal Abac.25g,Seca Doce,34.64
273,Cr.Dental Sensodyne 90g Branq.Ext.Fresh,Perfumaria/Higiene E Beleza,23.00
274,Goiabada Oliveira 400g Flow Pack,Seca Doce,15.48
275,Refrig.Itubaina 2l Pet,Bebidas Frias,81.22
276,Fio Dental Sanifill Class 100m,Perfumaria/Higiene E Beleza,27.96
277,Creme de Leite Frimesa 200g Tp,Seca Doce,227.25
278,Tempero Sabor Ami C/Pim.1kg,Seca Salgada,30.03
279,Cerv.Brahma Malzbier 350ml La,Bebidas Frias,155.64
280,Queijo Teixeira Parm.Ral.100g,Laticinios,68.86
281,Limpador Veja L.Pesada 1l Flora,Limpeza,39.56
282,Massa Ninfa C/O Tricol.Paraf.500g,Seca Leve,12.36
283,Deterg.Proteg Limao 500ml,Limpeza,4.17
284,Deterg.Proteg Clear 500ml,Limpeza,34.85
285,Deterg.Proteg Maca 500ml,Limpeza,16.88
286,Papel Hig.Duetto Neutro Fd 30m C/12 L+P-,Limpeza,478.70
287,Refr.Po Tang Guar.25g,Bebidas Frias,99.53
288,Cappuccino 3 Coracoes Class.100g Sache,Seca Pesada,8.10
289,Catchup D Aldeia Picante 400g,Seca Salgada,11.94
290,Achoc.Muky 1.010g Sache,Seca Doce,19.32
291,Marg.Qualy Aera 500g C/Sal,"Frios,Massas E Gordurosos",34.50
292,Cj.Limpador Mr.Musculo Deseng.Ap+Rf C/50,Limpeza,12.49
293,Cj.2 Shampoo Clear 200ml C.Ment A.Caspa,Perfumaria/Higiene E Beleza,99.50
294,Inset.Mat Inset Multi.Cit.400ml 33%,Limpeza,20.94
295,Leite Po Ninho Int.Inst.L400 P360g La,Seca Doce,118.68
296,Vasilhame Skol/Brahma 300ml Gf,Bebidas Frias,5.00
297,Pao Integral Kg,Padaria,21.88
298,Bacon Perdigao Manta Kg,Fiambreria,156.48
299,Presunto Perdigao Kg,Fiambreria,186.88
300,Farinha de Trigo Anaconda 5kg,Seca Pesada,677.18
301,Maionese Hellmanns Limao 500g,Seca Salgada,27.03
302,Cha Leao Camomila 10g C/10,Seca Doce,39.00
303,Coco Ralado Sococo 50g,Seca Doce,2.78
304,"Refrig.Antarc.Guar.2,5l Pet",Bebidas Frias,23.97
305,Refrig.Fanta Lja 350ml La,Bebidas Frias,24.15
306,Fermento Dr.Oetker Biologico 10g,Seca Doce,1.46
307,Desinf.Pinho Sol 500ml,Limpeza,36.24
308,Panettone DeliCia 500g Sache Frutas,Paes E Bolos Industrializados,225.15
309,Leite Lider Uht 1l Semidesnatado,Leite,176.53
310,Gelatina Dr.Oetker S/Sabor 24g,Seca Doce,34.02
311,Salgadinho Kg,Rotisseria,479.06
312,Tempero Arisco S/Pim.300g,Seca Salgada,18.82
313,Cafe Caboclo Trad.Vacuo 500g,Seca Pesada,246.03
314,Sab.Johnson 90g Oleos Essenciais Herbais,Perfumaria/Higiene E Beleza,12.16
315,Oleo Suavit Milho 900ml Pet,Seca Pesada,21.52
316,Mil.Pipoca Caldo Bom Imp.500g,Seca Pesada,63.90
317,Sabao Em Po Assim 1kg,Limpeza,54.06
318,Sal Lebre P/Churrasco 1kg,Seca Salgada,17.40
319,Linguica Fattoria Cheiro Verde Resf.Kg,Acougue,207.63
320,Hastes Flex.Topz C/75,Perfumaria/Higiene E Beleza,27.17
321,Sardinha Coqueiro Tomate 125g,Seca Salgada,70.15
322,Tempero Maggi Feijao/Ovo/Arroz 50g,Seca Salgada,3.51
323,Shampoo Palmolive 350ml A.Caspa Men,Perfumaria/Higiene E Beleza,27.06
324,Oleo Suavit Girassol 900ml Pet,Seca Pesada,46.72
325,Feijao Pontarollo Preto 1kg,Seca Pesada,3.39
326,Cafe 3 Coracoes E.Forte Vacuo 500g,Seca Pesada,517.76
327,Deterg.Ype Maca 500ml,Limpeza,16.26
328,Batata Pratic Palha Lev 120g,Seca Leve,3.95
