,nm_produto,ds_classe2,vl_total
146,Frango Copacol Resf.Kg,Acougue,1946.18
147,Frango Resfriado Maringa Kg,Acougue,3671.41
148,Frango Sadia Assa Facil Temp.Cong.Kg,Acougue,265.44
149,Frango Seara Assa Facil Temp.Cong.Kg,Acougue,209.00
150,Galinha Big Frango Kg Cong.,Acougue,159.41
151,Galinha Fragnani Cong.Kg,Acougue,43.73
152,Galo do Sitio Cong.Kg,Acougue,66.57
153,Lingua Bovina Kg,Acougue,147.50
154,Linguica Alegra Pernil Cong.600g,Acougue,244.75
155,Linguica Alegra Pernil Resf.Kg,Acougue,313.42
156,Linguica Alegra Suina 600g C/Bacon,Acougue,371.92
157,Linguica Alegra Suina 600g C/Cheiro Verd,Acougue,278.80
158,Linguica Alegra Suina 600g C/Pimenta,Acougue,101.52
159,Linguica Alegra Suina 600g C/Queijo,Acougue,383.60
160,Linguica Alegra Suina Cong.600g,Acougue,71.20
161,Linguica Alegra Suina Resf.Kg,Acougue,3794.99
162,Linguica Alegra Toscana Resf.Kg,Acougue,296.60
163,Linguica Aurora Pernil Resf.Kg,Acougue,4180.69
164,Linguica Bizinelli Fina Especial Kg,Acougue,1120.94
165,Linguica Bizinelli Toscana Kg,Acougue,714.74
166,Linguica Copacol Churrasco Cong.1kg,Acougue,27.14
167,Linguica Copacol de Frango Cong.1kg,Acougue,727.71
168,Linguica Copacol de Frango Resf.1kg,Acougue,4233.60
169,Linguica Fattoria Cheiro Verde Resf.Kg,Acougue,1338.87
170,Linguica Fattoria Toscana Resf.Kg,Acougue,103.46
171,Linguica Frimesa Calab.Frescal Cong.1kg,Acougue,246.22
172,Linguica Frimesa Frango Fininha Cong.1kg,Acougue,117.68
173,Linguica Frimesa Pernil Suina Resf.1kg,Acougue,271.15
174,Linguica Frimesa Pernil Suina Resf.Kg,Acougue,285.61
175,Linguica Frimesa Pernil Suino Cong.1kg,Acougue,380.38
176,Linguica Frimesa Toscana Cong.1kg,Acougue,417.96
177,Linguica Frimesa Toscana Kg Cong.,Acougue,899.19
178,Linguica Frimesa Toscana Resf.Kg,Acougue,6897.36
179,Linguica Frimesa Toscana Resf.Pct 1kg,Acougue,529.56
180,Linguica Lar Frango Fininha Resf.1kg,Acougue,258.42
181,Linguica Mista Suino Sabor Kg,Acougue,1684.56
182,Linguica Pamplona Pernil Erva Resf.600g,Acougue,28.17
183,Linguica Pamplona Pernil Resf.600g,Acougue,28.17
184,Linguica Perdigao Brasa Apiment.Cong.1kg,Acougue,26.56
185,Linguica Perdigao Carne Suina Resf.700g,Acougue,688.84
186,Linguica Perdigao Pernil Na Brasacong.1g,Acougue,584.42
187,Linguica Perdigao Toscana 600g Alho/Erva,Acougue,23.96
188,Linguica Perdigao Toscana 600g C/Queijo,Acougue,108.20
189,Linguica Perdigao Toscana 600g Fgo/Bacon,Acougue,41.73
190,Linguica Perdigao Toscana 600g Pimen.Biq,Acougue,37.87
191,Linguica Perdigao Toscana Brasa Cong.1kg,Acougue,150.29
192,Linguica Sadia Toscana 950g,Acougue,265.72
193,Linguica Seara de Frango Cong.700g,Acougue,95.89
194,Linguica Seara Toscana Cong.700g,Acougue,33.82
195,Linguica Tonini Pernil Resf.Kg,Acougue,141.37
196,Linguica Tonini Resf.Ervas Finas Kg,Acougue,636.32
197,Linguica Tonini Tc Kg,Acougue,6713.78
198,Lombo Alegra Corte Facil Cong.Kg,Acougue,62.25
199,Lombo Alegra Ingles Corte Facil Cong.Kg,Acougue,33.63
200,Lombo Prieto Suino Temp.Resf.Kg,Acougue,37.91
201,Lombo Suino Alegra Cong.Kg,Acougue,90.88
202,Lombo Suino Alegra Temp.Resf.Kg,Acougue,718.96
203,Lombo Suino Fattoria Resf.Kg,Acougue,185.40
204,Lombo Suino Frimesa Gong.Kg,Acougue,140.61
205,Lombo Suino Pamplona S/O Resf.Kg,Acougue,38.24
206,Lombo Suino Pamplona Temp.Resf.Kg,Acougue,112.16
207,Lombo Suino Resf.Kg,Acougue,20.29
208,Maminha Friboi Reserva Peca Vac.Kg,Acougue,281.13
