,nm_produto,ds_classe2,vl_total
158,Linguica Frimesa Toscana Cong.1kg,Acougue,92.88
159,Linguica Frimesa Toscana Kg Cong.,Acougue,226.14
160,Linguica Frimesa Toscana Resf.Kg,Acougue,764.45
161,Linguica Frimesa Toscana Resf.Pct 1kg,Acougue,102.97
162,Linguica Lar Frango Fininha Resf.1kg,Acougue,113.58
163,Linguica Mista Suino Sabor Kg,Acougue,441.04
164,Linguica Perdigao Carne Suina Resf.700g,Acougue,98.68
165,Linguica Perdigao Pernil Na Brasacong.1g,Acougue,83.68
166,Linguica Perdigao Toscana 600g Alho/Erva,Acougue,53.71
167,Linguica Perdigao Toscana 600g C/Queijo,Acougue,15.46
168,Linguica Perdigao Toscana 600g Fgo/Bacon,Acougue,25.89
169,Linguica Perdigao Toscana Brasa Cong.1kg,Acougue,17.39
170,Linguica Sadia Toscana 950g,Acougue,58.48
171,Linguica Seara de Frango Cong.700g,Acougue,58.90
172,Linguica Tonini Pernil Resf.Kg,Acougue,48.91
173,Linguica Tonini Resf.Ervas Finas Kg,Acougue,205.14
174,Linguica Tonini Tc Kg,Acougue,265.08
175,Lombo Suino Alegra Cong.Kg,Acougue,25.19
176,Lombo Suino Alegra Temp.Resf.Kg,Acougue,89.22
177,Lombo Suino Fattoria Resf.Kg,Acougue,41.38
178,Maminha Friboi Reserva Peca Vac.Kg,Acougue,35.49
179,Medalhao do Alcatra Friboi Reserva Kg,Acougue,17.48
180,Meio da Asa Big Fgo Resf.Bdj  Kg,Acougue,92.63
181,Meio da Asa Big Fgo Temp.Resf.Kg,Acougue,114.06
182,Meio da Asa Copacol Kg,Acougue,264.15
183,Meio da Asa Seara Resf.Kg,Acougue,52.04
184,Miolo Alcatra DeliCia A/S Pedaco Kg,Acougue,20.79
185,Mocoto Bovino Kg,Acougue,9.02
186,Moela de Frango Big Fgo Resf.Kg,Acougue,77.93
187,Moela de Frango Copacol Resf.Kg,Acougue,76.32
188,Musculo Com Osso Kg,Acougue,6.88
189,Musculo DeliCia A/S Resf.Pedaco Kg,Acougue,88.67
190,Musculo Mole Friboi Reserva Tortug.Kg,Acougue,31.62
191,Musculo Picado DeliCia A/S Kg,Acougue,12.45
192,Paleta S/O DeliCia A/S Pedaco Kg,Acougue,338.32
193,Paleta Suina C/Osso C/Pele Resf.Kg,Acougue,19.42
194,Paleta Suina Fattoria C/Osso C/P Resf.Kg,Acougue,45.37
195,Patinho DeliCia A/S Pedaco Resf.Kg,Acougue,51.62
196,Patinho Friboi Reserva Peca Vac.Kg,Acougue,24.91
197,Patinho Moido DeliCia A/S Kg,Acougue,694.59
198,Patinho Peca Inteira Kg,Acougue,392.09
199,Patinho Pedaco Kg,Acougue,1497.37
200,Patinho Porcionado Resf.Kg,Acougue,455.05
201,Pe Suino Resf.Kg,Acougue,7.18
202,Peito de Frango Seara Resf.Kg,Acougue,4.59
203,Peito Frango Big Fgo C/O C/P Resf.Bdj Kg,Acougue,108.11
204,Peito Frango Big Fgo C/Osso C/P Resf.Kg,Acougue,47.96
205,Peito Frango C/Osso Cong.Kg,Acougue,233.00
206,Peito Frango C/Osso Maringa Resf.Kg,Acougue,353.73
207,Peito Frango Copacol Bdja 1kg,Acougue,43.88
208,Peito Frango Copacol Resf.Kg,Acougue,837.28
209,Peito Frango Copacol S/O S/P Bdja 1kg,Acougue,480.84
210,Peito Frango Copacol S/Pele  Bdja 1kg,Acougue,36.36
211,Peito Frango Copacol S/Pele Kg,Acougue,71.61
212,Peixinho Sanfonado DeliCia A/S Kg,Acougue,14.19
213,Pernil Prieto Suino Temp.Resf.Kg,Acougue,25.65
214,Pernil Suino C/Osso C/Pele Resf.Kg,Acougue,40.26
215,Pernil Suino Fattoria C/Osso C/P Resf.Kg,Acougue,232.16
216,Pernil Suino Pamplona C/O S/P Resf.Kg,Acougue,11.41
217,Pernil Suino Tonini C/O C/P Resf.Kg,Acougue,26.22
218,Petisco Copacol de Fgo Tem.Cong Pct 1kg,Acougue,32.01
219,Picanha Alegra Corte Facil Cong.Kg,Acougue,23.47
220,Picanha Anglo Fatiada Kg,Acougue,149.90
221,Picanha Anglo Friboi Resf.Kg,Acougue,49.04
222,Picanha Resf.Vacuo Kg,Acougue,56.89
223,Picanha Suina Alegra Temp.Resf.Kg,Acougue,125.20
224,Picanha Suina Frimesa Cong.Kg,Acougue,15.40
225,Picanha Suina Pamplona Temp.Resf.Kg,Acougue,16.31
226,Ponta de Costela Bovina Congelada Kg,Acougue,138.76
227,Ponta de Peito DeliCia A/S Pedaco Kg,Acougue,14.27
228,Posta Branca Friboi Porcionado Resf.Kg,Acougue,135.10
229,Posta Vermelha Peca Inteira Kg,Acougue,119.47
230,Posta Vermelha Pedaco Kg,Acougue,386.04
231,Posta Vermelha Porcionada Kg,Acougue,1145.64
232,Rabo Bovino Kg,Acougue,22.22
233,Recortes de Costela Suina Aurora Cong.Kg,Acougue,77.11
234,Redbeff DeliCia A/S Kg,Acougue,85.32
235,Sobrecoxa Big Fgo Resf.Bdj Kg,Acougue,111.07
236,Sobrecoxa Big Fgo Resf.Kg,Acougue,50.65
237,Sobrecoxa Frango Big Fgo Temp.Resf.Kg,Acougue,73.17
238,Sobrecoxa Frango Copacol S/Pele Bd 1kg,Acougue,146.24
239,Sobrecoxa Frango Copacol S/Pele Resf.Kg,Acougue,86.99
240,Sobrecoxa Frango Copacol Temp.Resf.1kg,Acougue,11.12
241,Sobrecoxa Seara Resf.Kg,Acougue,33.99
242,Sobrepaleta Suina Alegra Temp.Resf.Kg,Acougue,54.04
243,Sobrepaleta Suina Extra Alegra Cong.Kg,Acougue,46.71
244,Sobrepaleta Suina Pamplona Temp.Resf.Kg,Acougue,19.87
245,Stretto DeliCia A/S Kg,Acougue,79.61
246,Strogonoff Alcatra Friboi Reserva Kg,Acougue,71.32
247,Strogonoff Coxao Mole DeliCia A/S Kg,Acougue,264.28
248,Strogonoff Patinho Friboi Reserva Kg,Acougue,47.05
249,Toucinho Suino Fattoria C/Pele Resf.Kg,Acougue,5.59
250,Toucinho Suino Resf.Kg,Acougue,3.52
251,Toucinho Tonini Resf.Kg,Acougue,11.08
252,Agua Coco Ducoco 1l Tp,Bebidas Frias,69.65
253,Agua Coco Kero-Coco 1l Tp,Bebidas Frias,218.47
254,Agua Coco Kero-Coco 200ml Tp,Bebidas Frias,45.72
255,Agua Coco Obrigado 1l Tp,Bebidas Frias,713.48
256,Agua Coco Obrigado 200ml Tp,Bebidas Frias,4.98
257,Agua Coco Obrigado Abac./Pera 1l Tp,Bebidas Frias,12.98
258,Agua Coco Sococo 1l Tp,Bebidas Frias,305.04
259,Agua Coco Sococo 200ml  Tp,Bebidas Frias,57.61
260,Agua Coco Sococo 330ml Tp,Bebidas Frias,27.92
261,Agua Coco Trop Coco 1l,Bebidas Frias,791.85
262,Agua Crystal Sparkling Limao 310ml La,Bebidas Frias,7.48
263,Agua Crystal Sparkling Limao 510ml Pet,Bebidas Frias,28.26
264,Agua Crystal Sparkling Tang.310ml La,Bebidas Frias,11.79
265,Agua Crystal Sparkling Tang.510ml Pet,Bebidas Frias,14.61
266,Agua de Coco Mais Coco 1l Tp,Bebidas Frias,1079.04
267,Agua Min.Ama 500ml S/Gas Pet,Bebidas Frias,80.98
268,"Agua Min.Crystal 1,5l Pet",Bebidas Frias,70.78
269,Agua Min.Crystal 300ml Pet,Bebidas Frias,15.56
270,Agua Min.Crystal 310ml Copo,Bebidas Frias,5.79
271,Agua Min.Crystal 500ml Pet,Bebidas Frias,156.57
272,Agua Min.Crystal 5l,Bebidas Frias,140.86
273,"Agua Min.Crystal C/Gas 1,5l Pet",Bebidas Frias,32.45
274,Agua Min.Crystal C/Gas 500ml Pet,Bebidas Frias,118.71
275,Agua Min.Crystal Vip 350ml C./Gas Pet,Bebidas Frias,19.12
276,Agua Min.Crystal Vip 350ml Pet,Bebidas Frias,13.18
